Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,2.364,2.455,Hai phương pháp gần nhau.
cross-doc,Faithfulness,2.455,2.818,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,2.364,2.455,Hai phương pháp gần nhau.
cross-doc,Latency (s),6.899,4.747,GraphRAG không đắt hơn trong sample này.
cross-doc,Token usage,1227.818,965.818,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,3.0,2.5,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Faithfulness,3.0,2.5,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Multi-hop reasoning,3.0,3.0,Hai phương pháp gần nhau.
factoid,Latency (s),3.991,2.535,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,904.5,733.5,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,2.083,2.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,2.333,2.333,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,2.25,2.0,Hai phương pháp gần nhau.
multi-hop,Latency (s),8.94,8.384,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,1261.583,1198.833,GraphRAG không đắt hơn trong sample này.
